,Distribution,Shift
0,Uniform (Likert),0.040000000000000036
1,Uniform (Likert),0.3999999999999999
2,Uniform (Likert),0.08000000000000007
3,Uniform (Likert),0.3600000000000001
4,Uniform (Likert),0.32000000000000006
5,Uniform (Likert),0.24
6,Uniform (Likert),0.43999999999999995
7,Uniform (Likert),0.1200000000000001
8,Uniform (Likert),0.32000000000000006
9,Uniform (Likert),0.3999999999999999
10,Uniform (Likert),0.19999999999999996
11,Uniform (Likert),0.56
12,Uniform (Likert),0.32000000000000006
13,Uniform (Likert),0.32000000000000006
14,Uniform (Likert),0.1200000000000001
15,Uniform (Likert),0.96
16,Uniform (Likert),0.28
17,Uniform (Likert),0.040000000000000036
18,Uniform (Likert),0.15999999999999992
19,Uniform (Likert),0.19999999999999996
20,Uniform (Likert),0.3999999999999999
21,Uniform (Likert),0.3999999999999999
22,Uniform (Likert),0.0
23,Uniform (Likert),-0.16000000000000014
24,Uniform (Likert),0.15999999999999992
25,Uniform (Likert),0.19999999999999996
26,Uniform (Likert),1.12
27,Uniform (Likert),0.96
28,Uniform (Likert),0.3999999999999999
29,Uniform (Likert),0.24
30,Uniform (Likert),0.43999999999999995
31,Uniform (Likert),0.43999999999999995
32,Uniform (Likert),0.3600000000000001
33,Uniform (Likert),0.1200000000000001
34,Uniform (Likert),0.24
35,Uniform (Likert),0.6000000000000001
36,Uniform (Likert),0.28
37,Uniform (Likert),0.6000000000000001
38,Uniform (Likert),0.48
39,Uniform (Likert),0.56
40,Uniform (Likert),0.28
41,Uniform (Likert),0.9199999999999999
42,Uniform (Likert),0.32000000000000006
43,Uniform (Likert),1.0
44,Uniform (Likert),0.3999999999999999
45,Uniform (Likert),0.48
46,Uniform (Likert),0.56
47,Uniform (Likert),0.28
48,Uniform (Likert),0.24
49,Uniform (Likert),1.0
50,Uniform (Likert),0.3999999999999999
51,Uniform (Likert),0.72
52,Uniform (Likert),0.3600000000000001
53,Uniform (Likert),1.24
54,Uniform (Likert),0.08000000000000007
55,Uniform (Likert),0.76
56,Uniform (Likert),0.3999999999999999
57,Uniform (Likert),0.56
58,Uniform (Likert),0.8799999999999999
59,Uniform (Likert),0.32000000000000006
60,Uniform (Likert),0.56
61,Uniform (Likert),0.28
62,Uniform (Likert),0.3600000000000001
63,Uniform (Likert),0.040000000000000036
64,Uniform (Likert),0.48
65,Uniform (Likert),1.2
66,Uniform (Likert),0.1200000000000001
67,Uniform (Likert),0.28
68,Uniform (Likert),0.0
69,Uniform (Likert),0.15999999999999992
70,Uniform (Likert),0.52
71,Uniform (Likert),0.32000000000000006
72,Uniform (Likert),0.6799999999999999
73,Uniform (Likert),0.28
74,Uniform (Likert),-0.3600000000000001
75,Uniform (Likert),0.52
76,Uniform (Likert),0.28
77,Uniform (Likert),0.3999999999999999
78,Uniform (Likert),0.3999999999999999
79,Uniform (Likert),0.15999999999999992
80,Uniform (Likert),0.32000000000000006
81,Uniform (Likert),0.0
82,Uniform (Likert),0.28
83,Uniform (Likert),0.3999999999999999
84,Uniform (Likert),0.52
85,Uniform (Likert),0.40000000000000013
86,Uniform (Likert),0.19999999999999996
87,Uniform (Likert),0.32000000000000006
88,Uniform (Likert),0.48
89,Uniform (Likert),0.08000000000000007
90,Uniform (Likert),1.04
